Endpoint,readTimestamp,rssi,tagMac,isMotion
a08d0c0c-f74f-11e9-961f-001d054d25e2,16:24:02,-63,0x27ffaf,true
a08d0c0c-f74f-11e9-961f-001d054d25e2,16:24:02,-62,0xa15537,true
a08d0c0c-f74f-11e9-961f-001d054d25e2,16:24:02,-63,0xa15545,true
e54bffce-5ace-11e9-b732-001d054d25e2,16:24:02,-70,0x27ffaf,true
e54bffce-5ace-11e9-b732-001d054d25e2,16:24:02,-67,0xa15545,true
57e21042-5ace-11e9-be00-001d054d25e2,16:24:02,-70,0x27ffaf,true
57e21042-5ace-11e9-be00-001d054d25e2,16:24:02,-70,0xa15545,true
2aa79574-5acf-11e9-bc86-001d054d25e2,16:24:02,-63,0x27ffaf,true
c1f95698-5ace-11e9-8bfd-001d054d25e2,16:24:02,-69,0x27ffaf,true
c1f95698-5ace-11e9-8bfd-001d054d25e2,16:24:02,-68,0xa15545,true
0b3312e6-5ace-11e9-a5b3-001d054d25e2,16:24:01,-68,0xa1552c,false
0b3312e6-5ace-11e9-a5b3-001d054d25e2,16:24:01,-65,0x286dea,false
eec50c22-5acd-11e9-ad32-001d054d25e2,16:24:02,-59,0xa1552c,false
eec50c22-5acd-11e9-ad32-001d054d25e2,16:24:02,-68,0x27ffa4,false
eec50c22-5acd-11e9-ad32-001d054d25e2,16:24:02,-68,0x27ffa9,false
eec50c22-5acd-11e9-ad32-001d054d25e2,16:24:02,-58,0x286dea,false
eec50c22-5acd-11e9-ad32-001d054d25e2,16:24:02,-66,0x27ffb0,false
eec50c22-5acd-11e9-ad32-001d054d25e2,16:24:02,-66,0x27ffad,false
6d5fc7ac-5ace-11e9-8051-001d054d25e2,16:24:02,-66,0x280020,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-65,0xa1552c,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-65,0x27ffa1,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-67,0x27ffa2,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-66,0x286d56,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-67,0x27ffa3,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-60,0x280079,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-67,0x27ffa0,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-65,0x286ce5,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-62,0x27ffa4,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-70,0x26c6db,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-66,0x286dea,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-68,0x26c6ed,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-60,0x27ffb0,false
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:24:02,-64,0x27ffad,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-55,0x27ffa1,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-62,0x27ffa2,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-61,0x28006f,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-66,0x27ffa3,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-63,0xa15519,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-59,0xa1550d,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-60,0x28001a,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-62,0x280029,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-60,0xa15556,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-56,0x27ffac,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-60,0x280023,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-64,0x280024,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-53,0x27ffa0,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-61,0x28007b,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-63,0x28002b,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-64,0x27ffab,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-67,0x26c6ed,false
a93b1988-0646-11ea-a3ac-001d054d25e2,16:24:02,-66,0x28006b,false
669043ca-5ace-11e9-bd04-001d054d25e2,16:24:02,-67,0x27ffaf,true
